timestamp,address,date,type,weather,road_conditions,lightning,vehicles,num_of_participants,num_dead,num_injured,lon,lat
2016-09-11T18:10:00Z,"Ленинский район, г Астрахань, ул Яблочкова, 1 в",2016-09-11,Опрокидывание,Ясно,Сухое,Светлое время суток,2,2,0,1,48.081203,46.372218
2016-09-11T23:10:00Z,Енотаевский район,2016-09-11,Наезд на стоящее ТС,Ясно,Сухое,"В темное время суток, освещение отсутствует",2,5,0,3,47.096469,47.054217
2016-09-11T06:00:00Z,Харабалинский район,2016-09-11,Столкновение,Ясно,Сухое,Светлое время суток,2,2,0,1,47.651377,47.408973
2016-09-11T09:10:00Z,"Советский район, г Астрахань, ул Николая Островского, 122 а",2016-09-11,Столкновение,Ясно,Сухое,Светлое время суток,2,2,0,1,48.039503,46.334362
2016-09-10T14:11:00Z,"Ленинский район, г Астрахань",2016-09-10,Наезд на стоящее ТС,Ясно,Пыльное,Светлое время суток,2,12,0,10,48.106787,46.394381
2016-09-10T20:17:00Z,Наримановский район,2016-09-10,Иной вид ДТП,Ясно,Сухое,"В темное время суток, освещение отсутствует",1,4,0,3,47.33269,46.425089
2016-09-10T14:12:00Z,"Ленинский район, г Астрахань",2016-09-10,Наезд на препятствие,Ясно,Пыльное,Светлое время суток,1,1,0,1,48.106787,46.394381
2016-09-09T20:20:00Z,"Приволжский район, с Началово, мкр Шеншакова, 3",2016-09-09,Наезд на пешехода,Ясно,Сухое,"В темное время суток, освещение отсутствует",1,2,0,1,48.173882,46.338512
2016-09-09T18:00:00Z,Камызякский район,2016-09-09,Наезд на пешехода,Ясно,Сухое,Светлое время суток,1,2,0,1,48.078139,46.07766
2016-09-09T13:40:00Z,"Кировский район, г Астрахань, ул Набережная 1 Мая, 147",2016-09-09,Столкновение,Ясно,Пыльное,Светлое время суток,3,3,0,1,48.05251,46.344385
2016-09-09T10:00:00Z,"Кировский район, г Астрахань, ул Нововосточная, 103-25 ул. С. Перов.",2016-09-09,Падение пассажира,Ясно,Пыльное,Светлое время суток,1,2,0,1,NA,NA
2016-09-09T14:00:00Z,Красноярский район,2016-09-09,Столкновение,Ясно,Сухое,Светлое время суток,2,3,0,2,50.392586,53.602873
2016-09-09T14:30:00Z,"Кировский район, г Астрахань, ул Ногина, 6",2016-09-09,Наезд на пешехода,Ясно,Сухое,Светлое время суток,2,3,0,1,48.052924,46.346743
2016-09-09T17:30:00Z,"Советский район, г Астрахань, ул Адмирала Нахимова, 6",2016-09-09,Столкновение,Ясно,Сухое,Светлое время суток,2,2,0,1,48.005583,46.322221
2016-10-06T16:20:00Z,"Советский район, г Астрахань, ул Богдана Хмельницкого, 16",2016-10-06,Наезд на пешехода,Ясно,Сухое,Светлое время суток,1,2,0,1,48.015275,46.334468
2016-10-06T16:00:00Z,"Ленинский район, г Астрахань, пл Вокзальная, 19",2016-10-06,Падение пассажира,Ясно,Сухое,Светлое время суток,2,3,0,1,48.057793,46.359476
2016-10-06T17:30:00Z,"Кировский район, г Астрахань, ул Зеленая, 31 по ул. Яблочкова",2016-10-06,Наезд на пешехода,Ясно,Сухое,Светлое время суток,1,2,0,1,NA,NA
2016-10-06T20:31:00Z,"Ахтубинский район, г Ахтубинск, ул К.Маркса, 97",2016-10-06,Наезд на велосипедиста,Ясно,Сухое,"В темное время суток, освещение включено",2,2,0,1,46.170037,48.248521
2016-10-06T19:25:00Z,"Енотаевский район, с Никольское, ул Кирова, 105",2016-10-06,Наезд на пешехода,Ясно,Сухое,"В темное время суток, освещение отсутствует",1,2,0,1,46.40801,47.758592
2016-10-05T13:00:00Z,Красноярский район,2016-10-05,Столкновение,Ясно,Сухое,Светлое время суток,2,2,0,2,50.392586,53.602873
2016-10-05T16:40:00Z,"Советский район, г Астрахань, ул Богдана Хмельницкого, 14",2016-10-05,Наезд на пешехода,Ясно,Сухое,Светлое время суток,1,2,0,1,48.014575,46.334175
2016-10-05T17:20:00Z,"Кировский район, г Астрахань, ул Победы, 51",2016-10-05,Наезд на пешехода,Ясно,Сухое,Светлое время суток,1,2,0,1,48.056822,46.35302
2016-10-05T07:45:00Z,Харабалинский район,2016-10-05,Опрокидывание,Ясно,Сухое,Светлое время суток,1,3,0,3,47.651377,47.408973
