timestamp,address,vehicle_id,type_of_vehicle,model_of_vehicle,color,technical_issues,year,engine_location,is_escaped
2017-03-22T09:45:00Z,Енотаевский район,ТС2,"В-класс (малый) до 3,9 м",ВАЗ Прочие модели ВАЗ,Белый,Технические неисправности отсутствуют,2012,Передний,Нет
2017-03-22T08:40:00Z,"Советский район, г Астрахань, ул Николая Островского, 66 к.2",ТС1,"В-класс (малый) до 3,9 м",ВАЗ  Жигули  ВАЗ-2107 модификации,Белый,Технические неисправности отсутствуют,2006,Задний,Нет
2017-03-22T21:25:00Z,Красноярский район,ТС1,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ ВАЗ 2131 и модификации,Иные цвета,Технические неисправности отсутствуют,2015,Полноприводный,Нет
2017-03-22T21:25:00Z,Красноярский район,ТС2,"С-класс (малый средний, компактный) до 4,3 м",ВАЗ  Жигули  ВАЗ-2106 модификации,Белый,Технические неисправности отсутствуют,1998,Задний,Нет
2017-03-21T07:30:00Z,Икрянинский район,ТС1,"А-класс (особо малый) до 3,5 м","ВАЗ  Жигули  ВАЗ-2101, 02, 03 и модификации",Красный,Технические неисправности отсутствуют,1978,Передний,Нет
2017-03-21T13:35:00Z,"Ленинский район, г Астрахань, ул Савушкина, 32 б лит.Г",ТС1,Одноэтажные длиной от 5 до 8 м,"ГАЗ 3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации",Желтый,Отсутствуют предусмотренные конструкцией транспортного средства ремни безопасности и(или) подголовники сидений,2006,Задний,Да
2017-03-20T21:14:00Z,"Кировский район, г Астрахань, ул Красная Набережная, 88",ТС1,"В-класс (малый) до 3,9 м",HYUNDAI Solaris,Белый,Технические неисправности отсутствуют,2015,Передний,Нет
2017-03-20T08:00:00Z,Камызякский район,ТС1,"В-класс (малый) до 3,9 м",ВАЗ  Жигули  ВАЗ-2107 модификации,Синий,Технические неисправности отсутствуют,2002,Задний,Нет
2017-03-20T08:00:00Z,Камызякский район,ТС2,"В-класс (малый) до 3,9 м",ВАЗ Kalina,Многоцветный,Технические неисправности отсутствуют,2008,Передний,Нет
2017-03-19T06:35:00Z,"Трусовский район, г Астрахань, ул Пирогова, 38",ТС1,Минивэны и универсалы повышенной вместимости,ВАЗ  Жигули  ВАЗ-2104 модификации,Зеленый,Технические неисправности отсутствуют,2011,Задний,Нет
2017-03-19T10:50:00Z,Камызякский район,ТС1,"В-класс (малый) до 3,9 м",ВАЗ ВАЗ 2112 и модификации,Многоцветный,Технические неисправности отсутствуют,2006,Передний,Нет
2017-03-18T07:30:00Z,"Советский район, г Астрахань, ул Николая Островского, 162",ТС1,"В-класс (малый) до 3,9 м",ВАЗ Granta (Гранта),Многоцветный,Технические неисправности отсутствуют,2012,Передний,Нет
2017-03-17T12:15:00Z,"Советский район, г Астрахань, ул Космонавтов, 1 а",ТС1,"В-класс (малый) до 3,9 м",CITROEN DS,Белый,Технические неисправности отсутствуют,2012,Передний,Нет
2017-03-17T12:15:00Z,"Советский район, г Астрахань, ул Космонавтов, 1 а",ТС2,Одноэтажные длиной от 5 до 8 м,"ГАЗ 3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации",Желтый,Отсутствуют предусмотренные конструкцией транспортного средства ремни безопасности и(или) подголовники сидений,2008,Задний,Да
